algorithm,runtime,graph_nodes,edge_probability,Budget
spreading_minbudget,3.6650694999989355,100,0.5,"(29, [(30, 1), (46, 1), (11, 1), (12, 1), (16, 1), (41, 1), (61, 1), (82, 1), (84, 1), (88, 1), (98, 1), (2, 1), (15, 1), (24, 1), (27, 1), (45, 1), (77, 1), (79, 1), (85, 1), (22, 1), (43, 1), (72, 1), (74, 1), (78, 1), (86, 1), (97, 1), (92, 1), (13, 1), (65, 1)])"
heuristic_minbudget,2.367954000001191,100,0.5,"(29, [(98, 1), (85, 1), (24, 1), (84, 1), (46, 1), (88, 1), (22, 1), (12, 1), (27, 1), (65, 1), (45, 1), (41, 1), (61, 1), (72, 1), (13, 1), (2, 1), (43, 1), (79, 1), (86, 1), (92, 1), (15, 1), (30, 1), (77, 1), (82, 1), (97, 1), (11, 1), (16, 1), (74, 1), (78, 1)])"
spreading_minbudget,1.6317382999986876,100,0.5,"(13, [(12, 1), (7, 1), (11, 1), (16, 1), (88, 1), (15, 1), (19, 1), (27, 1), (54, 1), (20, 1), (26, 1), (43, 1), (28, 1)])"
heuristic_minbudget,1.2327431000012439,100,0.5,"(13, [(27, 1), (20, 1), (88, 1), (12, 1), (28, 1), (54, 1), (26, 1), (7, 1), (43, 1), (15, 1), (19, 1), (16, 1), (11, 1)])"
spreading_minbudget,1.377598899998702,100,0.5,"(9, [(23, 1), (82, 1), (30, 1), (40, 1), (62, 1), (79, 1), (85, 1), (22, 1), (92, 1)])"
heuristic_minbudget,1.0871489999990445,100,0.5,"(8, [(85, 1), (79, 1), (82, 1), (40, 1), (22, 1), (62, 1), (30, 1), (92, 1)])"
spreading_minbudget,1.249198300007265,100,0.5,"(12, [(31, 1), (16, 1), (41, 1), (84, 1), (90, 1), (24, 1), (29, 1), (37, 1), (40, 1), (85, 1), (13, 1), (65, 1)])"
heuristic_minbudget,1.291403099996387,100,0.5,"(11, [(84, 1), (29, 1), (37, 1), (40, 1), (24, 1), (85, 1), (65, 1), (41, 1), (13, 1), (90, 1), (16, 1)])"
spreading_minbudget,0.8987213000073098,100,0.8,"(8, [(84, 1), (16, 1), (21, 1), (68, 1), (86, 1), (87, 1), (44, 1), (52, 1)])"
heuristic_minbudget,2.5706658999988576,100,0.8,"(8, [(52, 1), (84, 1), (21, 1), (87, 1), (16, 1), (86, 1), (44, 1), (68, 1)])"
spreading_minbudget,0.5972516000038013,100,0.8,"(7, [(19, 1), (6, 1), (24, 1), (42, 1), (66, 1), (71, 1), (72, 1)])"
heuristic_minbudget,2.627842400004738,100,0.8,"(7, [(24, 1), (6, 1), (71, 1), (19, 1), (66, 1), (72, 1), (42, 1)])"
spreading_minbudget,2.4423267999954987,100,0.8,"(25, [(22, 1), (1, 1), (6, 1), (8, 1), (9, 1), (23, 1), (25, 1), (27, 1), (42, 1), (51, 1), (56, 1), (58, 1), (63, 1), (72, 1), (76, 1), (79, 1), (86, 1), (93, 1), (4, 1), (15, 1), (33, 1), (34, 1), (41, 1), (44, 1), (11, 1)])"
heuristic_minbudget,3.5214248999982374,100,0.8,"(25, [(27, 1), (76, 1), (6, 1), (4, 1), (25, 1), (58, 1), (34, 1), (51, 1), (9, 1), (8, 1), (22, 1), (11, 1), (15, 1), (23, 1), (33, 1), (44, 1), (56, 1), (86, 1), (93, 1), (1, 1), (79, 1), (41, 1), (63, 1), (72, 1), (42, 1)])"
spreading_minbudget,2.2762453999894205,100,0.8,"(23, [(21, 1), (2, 1), (8, 1), (9, 1), (16, 1), (22, 1), (29, 1), (37, 1), (48, 1), (53, 1), (65, 1), (71, 1), (76, 1), (85, 1), (86, 1), (89, 1), (91, 1), (95, 1), (96, 1), (97, 1), (98, 1), (74, 1), (94, 1)])"
heuristic_minbudget,3.9915353000105824,100,0.8,"(23, [(76, 1), (2, 1), (48, 1), (98, 1), (9, 1), (29, 1), (21, 1), (22, 1), (91, 1), (37, 1), (16, 1), (65, 1), (8, 1), (71, 1), (85, 1), (89, 1), (86, 1), (94, 1), (74, 1), (97, 1), (95, 1), (53, 1), (96, 1)])"
spreading_minbudget,3.2877872999961255,100,0.8,"(33, [(69, 1), (1, 1), (2, 1), (6, 1), (8, 1), (10, 1), (12, 1), (22, 1), (23, 1), (24, 1), (25, 1), (27, 1), (29, 1), (31, 1), (37, 1), (43, 1), (45, 1), (46, 1), (48, 1), (53, 1), (58, 1), (65, 1), (66, 1), (67, 1), (82, 1), (89, 1), (95, 1), (98, 1), (4, 1), (33, 1), (41, 1), (52, 1), (94, 1)])"
heuristic_minbudget,4.246031399990898,100,0.8,"(33, [(6, 1), (4, 1), (25, 1), (48, 1), (2, 1), (24, 1), (52, 1), (58, 1), (27, 1), (69, 1), (22, 1), (37, 1), (29, 1), (94, 1), (43, 1), (46, 1), (65, 1), (82, 1), (98, 1), (89, 1), (8, 1), (45, 1), (10, 1), (66, 1), (12, 1), (23, 1), (33, 1), (41, 1), (1, 1), (31, 1), (67, 1), (53, 1), (95, 1)])"
spreading_minbudget,2.8299892999930307,100,0.8,"(27, [(5, 1), (1, 1), (6, 1), (8, 1), (9, 1), (20, 1), (27, 1), (31, 1), (37, 1), (46, 1), (51, 1), (53, 1), (55, 1), (58, 1), (63, 1), (64, 1), (66, 1), (73, 1), (79, 1), (81, 1), (83, 1), (85, 1), (91, 1), (98, 1), (41, 1), (44, 1), (18, 1)])"
heuristic_minbudget,4.0879720999946585,100,0.8,"(27, [(58, 1), (6, 1), (51, 1), (20, 1), (98, 1), (27, 1), (64, 1), (8, 1), (9, 1), (73, 1), (46, 1), (37, 1), (5, 1), (83, 1), (55, 1), (41, 1), (81, 1), (18, 1), (31, 1), (91, 1), (53, 1), (1, 1), (63, 1), (44, 1), (85, 1), (66, 1), (79, 1)])"
spreading_minbudget,3.92984680000518,100,0.8,"(41, [(16, 1), (1, 1), (2, 1), (10, 1), (13, 1), (19, 1), (23, 1), (24, 1), (27, 1), (29, 1), (32, 1), (39, 1), (46, 1), (51, 1), (53, 1), (56, 1), (59, 1), (62, 1), (64, 1), (66, 1), (67, 1), (68, 1), (77, 1), (79, 1), (82, 1), (85, 1), (87, 1), (89, 1), (93, 1), (95, 1), (96, 1), (98, 1), (99, 1), (33, 1), (34, 1), (41, 1), (44, 1), (94, 1), (11, 1), (40, 1), (18, 1)])"
