algorithm,runtime,graph_nodes,Budget,Budget_numeric
heuristic_minbudget,0.0230562000069767,21.0,"(1, [(3, 1), (7, 2), (12, 3), (16, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0266151999821886,21.0,"(1, [(3, 1)])",1.0
non_spreading_minbudget,0.00219799997285,21.0,"(1, [(3, 1)])",1.0
heuristic_minbudget,0.0127759000170044,21.0,"(1, [(3, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0227846999769099,15.0,"(1, [(7, 1), (5, 2)])",1.0
non_spreading_minbudget,0.0041137000080198,15.0,"(2, [(5, 1), (7, 1)])",2.0
heuristic_minbudget,0.0065887999953702,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0226957999984733,15.0,"(2, [(9, 1), (10, 1)])",2.0
non_spreading_minbudget,0.0019158999784849,15.0,"(2, [(9, 1), (10, 1)])",2.0
heuristic_minbudget,0.0060964999720454,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0207286000368185,15.0,"(1, [(14, 1)])",1.0
non_spreading_minbudget,0.0018928999779745,15.0,"(1, [(14, 1)])",1.0
heuristic_minbudget,0.0061452000518329,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0209010000107809,15.0,"(2, [(2, 1), (5, 1)])",2.0
non_spreading_minbudget,0.001783899962902,15.0,"(2, [(2, 1), (5, 1)])",2.0
heuristic_minbudget,0.0062105000251904,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0199169999687001,15.0,"(1, [(11, 1)])",1.0
non_spreading_minbudget,0.0018495999975129,15.0,"(1, [(11, 1)])",1.0
heuristic_minbudget,0.0060272000264376,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0205649999552406,15.0,"(2, [(1, 1), (4, 1)])",2.0
non_spreading_minbudget,0.0019548999844118,15.0,"(2, [(1, 1), (4, 1)])",2.0
heuristic_minbudget,0.0048720000195316,15.0,"(1, [(1, 1)])",1.0
non_spreading_dirlaynet_minbudget,0.0208794000209309,15.0,"(1, [(5, 1), (3, 2)])",1.0
non_spreading_minbudget,0.0018272000015713,15.0,"(2, [(3, 1), (5, 1)])",2.0
heuristic_minbudget,0.0058151999837718,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0207178000127896,15.0,"(2, [(9, 1), (10, 1)])",2.0
non_spreading_minbudget,0.0023759000468999,15.0,"(2, [(9, 1), (10, 1)])",2.0
heuristic_minbudget,0.0059100000071339,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0207771999994292,15.0,"(1, [(7, 1), (3, 2)])",1.0
non_spreading_minbudget,0.0020325999939814,15.0,"(2, [(3, 1), (7, 1)])",2.0
heuristic_minbudget,0.0061916999984532,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0199016999686136,15.0,"(1, [(8, 1)])",1.0
non_spreading_minbudget,0.0016278999974019,15.0,"(1, [(8, 1)])",1.0
heuristic_minbudget,0.0061266000266186,15.0,"(1, [(2, 1), (4, 2)])",1.0
non_spreading_dirlaynet_minbudget,0.0315734000178054,21.0,"(2, [(9, 1), (10, 1)])",2.0
non_spreading_minbudget,0.0022109999554231,21.0,"(2, [(9, 1), (10, 1)])",2.0
heuristic_minbudget,0.0085808999720029,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0421992999617941,21.0,"(2, [(1, 1), (10, 1)])",2.0
non_spreading_minbudget,0.0026851000147871,21.0,"(2, [(1, 1), (10, 1)])",2.0
heuristic_minbudget,0.0089165000244975,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
non_spreading_dirlaynet_minbudget,0.0332884999806992,21.0,"(1, [(11, 1)])",1.0
non_spreading_minbudget,0.0021666000247932,21.0,"(1, [(11, 1)])",1.0
heuristic_minbudget,0.0086238000076264,21.0,"(1, [(1, 1), (3, 2), (5, 3), (7, 4)])",1.0
