algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.201286100083962,7,50.0,0.1,4
heuristic_maxsave,0.014899699948728,7,50.0,0.1,4
spreading_maxsave,0.2383421999402344,10,50.0,0.1,4
heuristic_maxsave,0.012845000019297,10,50.0,0.1,4
spreading_maxsave,0.1049009999260306,1,50.0,0.1,8
heuristic_maxsave,0.0438930999953299,1,50.0,0.1,8
spreading_maxsave,0.131692299968563,2,50.0,0.1,9
heuristic_maxsave,0.0371675000060349,2,50.0,0.1,10
spreading_maxsave,0.1387664000503718,3,50.0,0.1,10
heuristic_maxsave,0.0173331999685615,3,50.0,0.1,11
spreading_maxsave,0.259530899929814,5,50.0,0.1,11
heuristic_maxsave,0.0142545000417158,5,50.0,0.1,11
spreading_maxsave,0.2159536000108346,7,50.0,0.1,11
heuristic_maxsave,0.0134545000037178,7,50.0,0.1,11
spreading_maxsave,0.3772495000157505,10,50.0,0.1,11
heuristic_maxsave,0.0154821999603882,10,50.0,0.1,11
spreading_maxsave,0.0775160999037325,1,50.0,0.25,13
heuristic_maxsave,0.0425648000091314,1,50.0,0.25,13
spreading_maxsave,0.1021245999727398,2,50.0,0.25,20
heuristic_maxsave,0.0465799999656155,2,50.0,0.25,16
spreading_maxsave,0.1375307999551296,3,50.0,0.25,22
heuristic_maxsave,0.0680125000653788,3,50.0,0.25,23
spreading_maxsave,0.1930314999772235,5,50.0,0.25,23
heuristic_maxsave,0.0774353999877348,5,50.0,0.25,23
spreading_maxsave,0.2773599999491125,7,50.0,0.25,23
heuristic_maxsave,0.0548443999141454,7,50.0,0.25,23
spreading_maxsave,0.2538086000131443,10,50.0,0.25,23
heuristic_maxsave,0.0372633000370115,10,50.0,0.25,23
spreading_maxsave,0.1957632999401539,1,50.0,0.25,8
heuristic_maxsave,0.0533318000379949,1,50.0,0.25,7
spreading_maxsave,0.1008448000065982,2,50.0,0.25,10
heuristic_maxsave,0.0506705000298097,2,50.0,0.25,11
spreading_maxsave,0.135039500077255,3,50.0,0.25,10
heuristic_maxsave,0.0509270000038668,3,50.0,0.25,11
spreading_maxsave,0.1386652000946924,5,50.0,0.25,11
heuristic_maxsave,0.0496595000149682,5,50.0,0.25,11
spreading_maxsave,0.1618308000033721,7,50.0,0.25,11
heuristic_maxsave,0.0491491999709978,7,50.0,0.25,11
spreading_maxsave,0.209900000016205,10,50.0,0.25,11
heuristic_maxsave,0.0317345999646931,10,50.0,0.25,11
spreading_maxsave,0.073790599941276,1,50.0,0.25,11
heuristic_maxsave,0.0565678999992087,1,50.0,0.25,7
spreading_maxsave,0.1354416999965906,2,50.0,0.25,14
heuristic_maxsave,0.0563124000327661,2,50.0,0.25,11
spreading_maxsave,0.1389859999762848,3,50.0,0.25,15
heuristic_maxsave,0.0527866999618709,3,50.0,0.25,14
spreading_maxsave,0.1806508000008762,5,50.0,0.25,17
heuristic_maxsave,0.0451330000068992,5,50.0,0.25,17
spreading_maxsave,0.208839499973692,7,50.0,0.25,17
heuristic_maxsave,0.0521773999789729,7,50.0,0.25,17
spreading_maxsave,0.2692412999458611,10,50.0,0.25,17
heuristic_maxsave,0.0502447999315336,10,50.0,0.25,17
spreading_maxsave,0.0839021999854594,1,50.0,0.25,2
heuristic_maxsave,0.0387850000988692,1,50.0,0.25,3
spreading_maxsave,0.2448552000569179,2,50.0,0.25,3
heuristic_maxsave,0.0699997999472543,2,50.0,0.25,3
spreading_maxsave,0.1481973000336438,3,50.0,0.25,3
heuristic_maxsave,0.0520124000031501,3,50.0,0.25,3
spreading_maxsave,0.1651492000091821,5,50.0,0.25,3
heuristic_maxsave,0.0524562000064179,5,50.0,0.25,3
spreading_maxsave,0.2351825000951066,7,50.0,0.25,3
heuristic_maxsave,0.0455107000889256,7,50.0,0.25,3
spreading_maxsave,0.2991960999788716,10,50.0,0.25,3
heuristic_maxsave,0.0559801000636071,10,50.0,0.25,3
spreading_maxsave,0.1313778999028727,1,50.0,0.25,10
heuristic_maxsave,0.053986300015822,1,50.0,0.25,6
spreading_maxsave,0.128329100087285,2,50.0,0.25,12
heuristic_maxsave,0.0623746999772265,2,50.0,0.25,9
spreading_maxsave,0.1358664999715984,3,50.0,0.25,13
heuristic_maxsave,0.0521364000160247,3,50.0,0.25,14
spreading_maxsave,0.1582406999077648,5,50.0,0.25,14
heuristic_maxsave,0.0547715000575408,5,50.0,0.25,14
spreading_maxsave,0.2259492999874055,7,50.0,0.25,14
heuristic_maxsave,0.0504063999978825,7,50.0,0.25,14
spreading_maxsave,0.2382270999951288,10,50.0,0.25,14
heuristic_maxsave,0.0341223999857902,10,50.0,0.25,14
spreading_maxsave,0.0881979999830946,1,50.0,0.25,12
heuristic_maxsave,0.104605000000447,1,50.0,0.25,10
spreading_maxsave,0.2291568000800907,2,50.0,0.25,18
