algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
heuristic_maxsave,0.03716750000603497,2,50,0.1,10
spreading_maxsave,0.13876640005037189,3,50,0.1,10
heuristic_maxsave,0.01733319996856153,3,50,0.1,11
spreading_maxsave,0.25953089992981404,5,50,0.1,11
heuristic_maxsave,0.0142545000417158,5,50,0.1,11
spreading_maxsave,0.21595360001083463,7,50,0.1,11
heuristic_maxsave,0.01345450000371784,7,50,0.1,11
spreading_maxsave,0.3772495000157505,10,50,0.1,11
heuristic_maxsave,0.015482199960388243,10,50,0.1,11
spreading_maxsave,0.07751609990373254,1,50,0.25,13
heuristic_maxsave,0.04256480000913143,1,50,0.25,13
spreading_maxsave,0.10212459997273982,2,50,0.25,20
heuristic_maxsave,0.04657999996561557,2,50,0.25,16
spreading_maxsave,0.13753079995512962,3,50,0.25,22
heuristic_maxsave,0.06801250006537884,3,50,0.25,23
spreading_maxsave,0.19303149997722358,5,50,0.25,23
heuristic_maxsave,0.07743539998773485,5,50,0.25,23
spreading_maxsave,0.27735999994911253,7,50,0.25,23
heuristic_maxsave,0.05484439991414547,7,50,0.25,23
spreading_maxsave,0.2538086000131443,10,50,0.25,23
heuristic_maxsave,0.037263300037011504,10,50,0.25,23
spreading_maxsave,0.19576329994015396,1,50,0.25,8
heuristic_maxsave,0.05333180003799498,1,50,0.25,7
spreading_maxsave,0.10084480000659823,2,50,0.25,10
heuristic_maxsave,0.05067050002980977,2,50,0.25,11
spreading_maxsave,0.13503950007725507,3,50,0.25,10
heuristic_maxsave,0.05092700000386685,3,50,0.25,11
spreading_maxsave,0.1386652000946924,5,50,0.25,11
heuristic_maxsave,0.049659500014968216,5,50,0.25,11
spreading_maxsave,0.16183080000337213,7,50,0.25,11
heuristic_maxsave,0.04914919997099787,7,50,0.25,11
spreading_maxsave,0.209900000016205,10,50,0.25,11
heuristic_maxsave,0.03173459996469319,10,50,0.25,11
spreading_maxsave,0.07379059994127601,1,50,0.25,11
heuristic_maxsave,0.05656789999920875,1,50,0.25,7
