algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
heuristic_minbudget,0.1497489999746903,100,0.1,"(2, [(45, 1), (49, 1), (76, 2), (84, 2), (47, 3), (3, 3)])",2
spreading_minbudget,1.1790443999925628,100,0.1,"(6, [(31, 1), (45, 1), (60, 1), (69, 1), (72, 1), (22, 1)])",6
heuristic_minbudget,0.1183274000068195,100,0.1,"(4, [(22, 1), (45, 1), (34, 1), (82, 1), (42, 2), (99, 2), (43, 2), (36, 2)])",4
spreading_minbudget,1.104199699999299,100,0.1,"(7, [(16, 1), (55, 1), (17, 1), (72, 1), (54, 1), (78, 1), (82, 1)])",7
heuristic_minbudget,0.1498997999588027,100,0.1,"(4, [(16, 1), (82, 1), (17, 1), (72, 1), (55, 2), (61, 2), (56, 2), (51, 2), (4, 3)])",4
spreading_minbudget,1.0211707999696955,100,0.1,"(6, [(78, 1), (72, 1), (94, 1), (17, 1), (34, 1), (45, 1)])",6
heuristic_minbudget,0.1375988000072538,100,0.1,"(4, [(45, 1), (34, 1), (17, 1), (22, 1), (84, 2), (1, 2), (25, 2), (57, 2)])",4
spreading_minbudget,0.2784770000143908,100,0.1,"(2, [(82, 1), (34, 1)])",2
heuristic_minbudget,0.1287755999946966,100,0.1,"(2, [(34, 1), (82, 1), (44, 2), (21, 2), (47, 3), (62, 3)])",2
spreading_minbudget,0.995327599986922,100,0.25,"(9, [(92, 1), (67, 1), (20, 1), (44, 1), (2, 1), (87, 1), (38, 1), (97, 1), (43, 1)])",9
heuristic_minbudget,0.4242788000265136,100,0.25,"(8, [(67, 1), (2, 1), (97, 1), (43, 1), (44, 1), (87, 1), (20, 1), (38, 1), (73, 2), (60, 2), (37, 2), (59, 2), (71, 2), (75, 2), (11, 2), (14, 2)])",8
spreading_minbudget,1.1184426000108942,100,0.25,"(7, [(41, 1), (81, 1), (33, 1), (2, 1), (6, 1), (62, 1), (43, 1)])",7
heuristic_minbudget,0.3793056000140495,100,0.25,"(6, [(6, 1), (43, 1), (2, 1), (33, 1), (62, 1), (58, 1), (73, 2), (12, 2), (17, 2), (25, 2), (31, 2), (80, 2)])",6
spreading_minbudget,0.7323409999953583,100,0.25,"(7, [(3, 1), (92, 1), (1, 1), (99, 1), (18, 1), (58, 1), (40, 1)])",7
heuristic_minbudget,0.3573059000191279,100,0.25,"(4, [(58, 1), (18, 1), (40, 1), (99, 1), (25, 2), (59, 2), (26, 2), (7, 2)])",4
spreading_minbudget,2.190272299980279,100,0.25,"(16, [(90, 1), (2, 1), (32, 1), (20, 1), (52, 1), (42, 1), (62, 1), (33, 1), (44, 1), (87, 1), (94, 1), (5, 1), (15, 1), (61, 1), (58, 1), (40, 1)])",16
heuristic_minbudget,0.4371904999716207,100,0.25,"(12, [(20, 1), (87, 1), (33, 1), (94, 1), (42, 1), (61, 1), (44, 1), (58, 1), (5, 1), (15, 1), (62, 1), (40, 1), (14, 2), (28, 2), (59, 2), (73, 2)])",12
spreading_minbudget,1.7854821999790147,100,0.25,"(14, [(92, 1), (81, 1), (91, 1), (16, 1), (42, 1), (62, 1), (3, 1), (8, 1), (87, 1), (5, 1), (61, 1), (18, 1), (43, 1), (40, 1)])",14
heuristic_minbudget,0.5344076000037603,100,0.25,"(10, [(5, 1), (3, 1), (61, 1), (8, 1), (42, 1), (18, 1), (62, 1), (87, 1), (40, 1), (43, 1), (16, 2), (22, 2), (31, 2), (9, 2), (63, 2), (12, 2), (59, 2), (95, 2)])",10
spreading_minbudget,1.5582148000248708,100,0.25,"(12, [(81, 1), (92, 1), (71, 1), (33, 1), (42, 1), (62, 1), (67, 1), (99, 1), (38, 1), (61, 1), (68, 1), (40, 1)])",12
heuristic_minbudget,0.4385938000050373,100,0.25,"(9, [(67, 1), (68, 1), (62, 1), (33, 1), (42, 1), (61, 1), (99, 1), (38, 1), (40, 1), (19, 2), (30, 2), (12, 2), (53, 2), (14, 2), (22, 2), (52, 2)])",9
spreading_minbudget,1.52621470001759,100,0.25,"(11, [(81, 1), (49, 1), (13, 1), (20, 1), (5, 1), (94, 1), (15, 1), (99, 1), (68, 1), (69, 1), (58, 1)])",11
heuristic_minbudget,0.4099559000460431,100,0.25,"(8, [(58, 1), (5, 1), (68, 1), (99, 1), (20, 1), (69, 1), (15, 1), (94, 1), (63, 2), (75, 2), (31, 2), (14, 2), (34, 2), (56, 2)])",8
spreading_minbudget,1.603624099981971,100,0.25,"(12, [(74, 1), (48, 1), (29, 1), (44, 1), (42, 1), (62, 1), (5, 1), (15, 1), (39, 1), (67, 1), (61, 1), (97, 1)])",12
heuristic_minbudget,0.4721081999596208,100,0.25,"(10, [(67, 1), (62, 1), (39, 1), (5, 1), (97, 1), (42, 1), (44, 1), (48, 1), (61, 1), (15, 1), (73, 2), (59, 2), (75, 2), (28, 2), (63, 2), (85, 2), (12, 2), (14, 2)])",10
spreading_minbudget,0.0362786999903619,100,0.25,"(1, [(43, 1)])",1
heuristic_minbudget,0.2595292000332847,100,0.25,"(1, [(43, 1)])",1
spreading_minbudget,1.593571899982635,100,0.25,"(13, [(81, 1), (91, 1), (2, 1), (42, 1), (76, 1), (3, 1), (8, 1), (44, 1), (94, 1), (5, 1), (35, 1), (68, 1), (43, 1)])",13
heuristic_minbudget,0.4683395000174641,100,0.25,"(10, [(5, 1), (76, 1), (3, 1), (35, 1), (8, 1), (43, 1), (44, 1), (68, 1), (42, 1), (94, 1), (9, 2), (12, 2), (63, 2), (95, 2)])",10
spreading_minbudget,0.124026599980425,100,0.5,"(2, [(26, 1), (52, 1)])",2
heuristic_minbudget,0.780183200025931,100,0.5,"(2, [(26, 1), (52, 1)])",2
spreading_minbudget,2.6824176000081934,100,0.5,"(20, [(70, 1), (82, 1), (1, 1), (8, 1), (21, 1), (43, 1), (51, 1), (62, 1), (84, 1), (90, 1), (98, 1), (29, 1), (33, 1), (39, 1), (73, 1), (19, 1), (44, 1), (13, 1), (37, 1), (72, 1)])",20
heuristic_minbudget,1.0272667999961411,100,0.5,"(19, [(13, 1), (19, 1), (1, 1), (44, 1), (29, 1), (39, 1), (33, 1), (84, 1), (8, 1), (73, 1), (37, 1), (43, 1), (90, 1), (51, 1), (72, 1), (98, 1), (82, 1), (21, 1), (62, 1)])",19
spreading_minbudget,2.8944538999930955,100,0.5,"(23, [(93, 1), (23, 1), (1, 1), (41, 1), (43, 1), (62, 1), (65, 1), (66, 1), (77, 1), (82, 1), (83, 1), (90, 1), (3, 1), (26, 1), (33, 1), (39, 1), (50, 1), (73, 1), (36, 1), (75, 1), (91, 1), (10, 1), (37, 1)])",23
heuristic_minbudget,1.4857234999653883,100,0.5,"(23, [(3, 1), (23, 1), (36, 1), (93, 1), (39, 1), (77, 1), (26, 1), (41, 1), (1, 1), (33, 1), (65, 1), (50, 1), (10, 1), (66, 1), (43, 1), (73, 1), (90, 1), (91, 1), (37, 1), (83, 1), (75, 1), (82, 1), (62, 1)])",23
spreading_minbudget,3.4332921999739483,100,0.5,"(25, [(70, 1), (17, 1), (8, 1), (12, 1), (21, 1), (24, 1), (41, 1), (43, 1), (63, 1), (65, 1), (68, 1), (82, 1), (83, 1), (84, 1), (3, 1), (39, 1), (49, 1), (73, 1), (89, 1), (19, 1), (52, 1), (91, 1), (79, 1), (13, 1), (37, 1)])",25
heuristic_minbudget,1.487780700030271,100,0.5,"(23, [(3, 1), (49, 1), (12, 1), (24, 1), (13, 1), (39, 1), (89, 1), (19, 1), (41, 1), (52, 1), (79, 1), (37, 1), (43, 1), (84, 1), (65, 1), (68, 1), (8, 1), (73, 1), (91, 1), (63, 1), (83, 1), (21, 1), (82, 1)])",23
spreading_minbudget,2.257531899958849,100,0.5,"(20, [(23, 1), (90, 1), (51, 1), (8, 1), (21, 1), (41, 1), (63, 1), (68, 1), (77, 1), (83, 1), (98, 1), (26, 1), (29, 1), (39, 1), (55, 1), (58, 1), (73, 1), (99, 1), (37, 1), (72, 1)])",20
heuristic_minbudget,1.4055648999637924,100,0.5,"(20, [(39, 1), (90, 1), (68, 1), (26, 1), (41, 1), (77, 1), (55, 1), (29, 1), (23, 1), (63, 1), (83, 1), (8, 1), (37, 1), (58, 1), (99, 1), (21, 1), (73, 1), (51, 1), (72, 1), (98, 1)])",20
spreading_minbudget,0.5834341999725439,100,0.5,"(6, [(29, 1), (49, 1), (19, 1), (44, 1), (52, 1), (91, 1)])",6
heuristic_minbudget,0.945392899971921,100,0.5,"(5, [(19, 1), (91, 1), (44, 1), (52, 1), (49, 1)])",5
spreading_minbudget,1.9376049999846143,100,0.5,"(18, [(52, 1), (43, 1), (1, 1), (41, 1), (63, 1), (83, 1), (98, 1), (26, 1), (33, 1), (49, 1), (55, 1), (89, 1), (19, 1), (75, 1), (10, 1), (79, 1), (37, 1), (72, 1)])",18
heuristic_minbudget,1.333046599989757,100,0.5,"(17, [(19, 1), (10, 1), (79, 1), (41, 1), (26, 1), (55, 1), (33, 1), (89, 1), (1, 1), (49, 1), (37, 1), (43, 1), (63, 1), (72, 1), (83, 1), (98, 1), (75, 1)])",17
spreading_minbudget,0.2353103999630548,100,0.5,"(3, [(65, 1), (98, 1), (61, 1)])",3
heuristic_minbudget,0.8807544999872334,100,0.5,"(3, [(65, 1), (61, 1), (98, 1)])",3
spreading_minbudget,0.6223394999979064,100,0.5,"(7, [(52, 1), (43, 1), (82, 1), (26, 1), (29, 1), (49, 1), (58, 1)])",7
heuristic_minbudget,0.8649987000389956,100,0.5,"(7, [(49, 1), (58, 1), (29, 1), (26, 1), (52, 1), (43, 1), (82, 1)])",7
spreading_minbudget,2.206569099973421,100,0.5,"(21, [(13, 1), (90, 1), (23, 1), (43, 1), (51, 1), (62, 1), (68, 1), (83, 1), (84, 1), (98, 1), (29, 1), (39, 1), (50, 1), (58, 1), (73, 1), (89, 1), (19, 1), (80, 1), (91, 1), (10, 1), (99, 1)])",21
heuristic_minbudget,1.47182310000062,100,0.5,"(21, [(13, 1), (50, 1), (39, 1), (19, 1), (29, 1), (23, 1), (89, 1), (84, 1), (68, 1), (10, 1), (73, 1), (80, 1), (90, 1), (43, 1), (83, 1), (91, 1), (99, 1), (58, 1), (51, 1), (98, 1), (62, 1)])",21
spreading_minbudget,0.1898627000045962,100,0.8,"(2, [(37, 1), (18, 1)])",2
heuristic_minbudget,2.395152000011876,100,0.8,"(2, [(37, 1), (18, 1)])",2
spreading_minbudget,0.5496718999929726,100,0.8,"(7, [(23, 1), (24, 1), (25, 1), (49, 1), (59, 1), (28, 1), (71, 1)])",7
heuristic_minbudget,2.678468400030397,100,0.8,"(7, [(25, 1), (59, 1), (49, 1), (24, 1), (71, 1), (23, 1), (28, 1)])",7
spreading_minbudget,2.494835100020282,100,0.8,"(30, [(2, 1), (9, 1), (10, 1), (13, 1), (19, 1), (26, 1), (33, 1), (35, 1), (36, 1), (43, 1), (45, 1), (46, 1), (47, 1), (50, 1), (52, 1), (54, 1), (62, 1), (64, 1), (70, 1), (72, 1), (79, 1), (85, 1), (28, 1), (56, 1), (81, 1), (82, 1), (90, 1), (98, 1), (99, 1), (42, 1)])",30
heuristic_minbudget,3.3914967000018805,100,0.8,"(30, [(56, 1), (54, 1), (52, 1), (26, 1), (9, 1), (43, 1), (50, 1), (64, 1), (70, 1), (79, 1), (33, 1), (46, 1), (36, 1), (45, 1), (98, 1), (19, 1), (13, 1), (82, 1), (10, 1), (62, 1), (90, 1), (35, 1), (81, 1), (42, 1), (72, 1), (99, 1), (47, 1), (2, 1), (28, 1), (85, 1)])",30
spreading_minbudget,1.8458298000041395,100,0.8,"(19, [(3, 1), (8, 1), (19, 1), (20, 1), (33, 1), (45, 1), (52, 1), (59, 1), (73, 1), (78, 1), (79, 1), (7, 1), (28, 1), (56, 1), (71, 1), (90, 1), (32, 1), (34, 1), (38, 1)])",19
heuristic_minbudget,2.79601819999516,100,0.8,"(19, [(78, 1), (8, 1), (52, 1), (56, 1), (79, 1), (19, 1), (45, 1), (20, 1), (38, 1), (3, 1), (59, 1), (73, 1), (34, 1), (33, 1), (90, 1), (32, 1), (7, 1), (71, 1), (28, 1)])",19
spreading_minbudget,0.4747151000192389,100,0.8,"(6, [(17, 1), (3, 1), (18, 1), (70, 1), (78, 1), (98, 1)])",6
heuristic_minbudget,2.201743700017687,100,0.8,"(6, [(98, 1), (70, 1), (17, 1), (78, 1), (3, 1), (18, 1)])",6
spreading_minbudget,0.9794380000093952,100,0.8,"(11, [(8, 1), (10, 1), (13, 1), (27, 1), (55, 1), (93, 1), (97, 1), (99, 1), (32, 1), (42, 1), (61, 1)])",11
heuristic_minbudget,2.435302200028673,100,0.8,"(11, [(8, 1), (10, 1), (93, 1), (13, 1), (97, 1), (32, 1), (55, 1), (61, 1), (27, 1), (99, 1), (42, 1)])",11
spreading_minbudget,1.3035318999900485,100,0.8,"(18, [(17, 1), (18, 1), (20, 1), (21, 1), (33, 1), (52, 1), (63, 1), (79, 1), (83, 1), (86, 1), (97, 1), (7, 1), (76, 1), (81, 1), (90, 1), (32, 1), (61, 1), (38, 1)])",18
heuristic_minbudget,3.759314799972344,100,0.8,"(18, [(21, 1), (52, 1), (83, 1), (86, 1), (79, 1), (17, 1), (20, 1), (33, 1), (61, 1), (97, 1), (32, 1), (76, 1), (90, 1), (38, 1), (7, 1), (63, 1), (81, 1), (18, 1)])",18
spreading_minbudget,2.792859200038947,100,0.8,"(31, [(2, 1), (8, 1), (18, 1), (19, 1), (21, 1), (23, 1), (27, 1), (36, 1), (45, 1), (47, 1), (57, 1), (58, 1), (65, 1), (68, 1), (70, 1), (73, 1), (74, 1), (78, 1), (79, 1), (88, 1), (89, 1), (92, 1), (97, 1), (7, 1), (28, 1), (39, 1), (71, 1), (32, 1), (34, 1), (42, 1), (61, 1)])",31
heuristic_minbudget,4.033940599998459,100,0.8,"(31, [(21, 1), (8, 1), (79, 1), (70, 1), (68, 1), (78, 1), (57, 1), (19, 1), (92, 1), (45, 1), (58, 1), (73, 1), (34, 1), (61, 1), (89, 1), (97, 1), (32, 1), (2, 1), (7, 1), (36, 1), (65, 1), (27, 1), (74, 1), (88, 1), (71, 1), (47, 1), (23, 1), (28, 1), (18, 1), (39, 1), (42, 1)])",31
spreading_minbudget,0.2917672999901697,100,0.8,"(4, [(27, 1), (43, 1), (72, 1), (83, 1)])",4
heuristic_minbudget,2.546517400012817,100,0.8,"(4, [(83, 1), (43, 1), (27, 1), (72, 1)])",4
spreading_minbudget,2.846838600002229,100,0.8,"(31, [(2, 1), (5, 1), (6, 1), (13, 1), (18, 1), (19, 1), (20, 1), (21, 1), (25, 1), (30, 1), (33, 1), (40, 1), (52, 1), (53, 1), (57, 1), (58, 1), (59, 1), (63, 1), (64, 1), (67, 1), (70, 1), (92, 1), (93, 1), (96, 1), (97, 1), (7, 1), (39, 1), (56, 1), (71, 1), (90, 1), (99, 1)])",31
heuristic_minbudget,3.933846600004472,100,0.8,"(31, [(93, 1), (21, 1), (52, 1), (25, 1), (56, 1), (59, 1), (64, 1), (70, 1), (96, 1), (92, 1), (13, 1), (19, 1), (20, 1), (57, 1), (97, 1), (5, 1), (53, 1), (40, 1), (90, 1), (33, 1), (99, 1), (58, 1), (63, 1), (67, 1), (2, 1), (7, 1), (30, 1), (71, 1), (39, 1), (6, 1), (18, 1)])",31
spreading_minbudget,6.00290949997725,200,0.1,"(15, [(196, 1), (64, 1), (12, 1), (70, 1), (159, 1), (57, 1), (135, 1), (157, 1), (60, 1), (35, 1), (140, 1), (162, 1), (185, 1), (187, 1), (22, 1)])",15
heuristic_minbudget,0.4917110999813303,200,0.1,"(9, [(162, 1), (64, 1), (140, 1), (185, 1), (187, 1), (22, 1), (35, 1), (196, 1), (11, 1), (128, 2), (96, 2), (114, 2), (178, 2), (101, 2), (37, 2), (75, 2), (151, 2), (198, 2)])",9
spreading_minbudget,2.7255035000271164,200,0.1,"(7, [(191, 1), (21, 1), (83, 1), (140, 1), (118, 1), (77, 1), (22, 1)])",7
heuristic_minbudget,0.5841695999843068,200,0.1,"(5, [(191, 1), (22, 1), (77, 1), (11, 1), (140, 1), (123, 2), (39, 2), (110, 2), (87, 2), (171, 2)])",5
spreading_minbudget,4.446766500012018,200,0.1,"(11, [(11, 1), (98, 1), (147, 1), (1, 1), (5, 1), (42, 1), (18, 1), (19, 1), (77, 1), (185, 1), (191, 1)])",11
heuristic_minbudget,0.6619792000274174,200,0.1,"(7, [(11, 1), (185, 1), (19, 1), (191, 1), (77, 1), (36, 1), (140, 1), (127, 2), (7, 2), (59, 2), (184, 2), (171, 2), (107, 2), (18, 2)])",7
spreading_minbudget,2.031053599959705,200,0.1,"(7, [(138, 1), (146, 1), (177, 1), (157, 1), (57, 1), (185, 1), (125, 1)])",7
heuristic_minbudget,0.52089609997347,200,0.1,"(5, [(185, 1), (157, 1), (57, 1), (125, 1), (191, 1), (173, 2), (144, 2), (119, 2), (38, 2), (83, 2)])",5
spreading_minbudget,5.7495898000197485,200,0.1,"(13, [(1, 1), (160, 1), (133, 1), (75, 1), (84, 1), (124, 1), (122, 1), (66, 1), (11, 1), (28, 1), (57, 1), (187, 1), (191, 1)])",13
heuristic_minbudget,0.4854959000367671,200,0.1,"(9, [(57, 1), (11, 1), (187, 1), (191, 1), (140, 1), (162, 1), (19, 1), (64, 1), (104, 1), (92, 2), (133, 2), (127, 2), (6, 2), (1, 2), (119, 2), (71, 2), (75, 2), (122, 2)])",9
spreading_minbudget,1.6002809000201523,200,0.1,"(3, [(3, 1), (35, 1), (26, 1), (37, 2), (75, 2), (149, 2)])",3
heuristic_minbudget,0.4618532999884337,200,0.1,"(5, [(35, 1), (11, 1), (187, 1), (185, 1), (172, 1), (7, 2), (92, 2), (33, 2), (166, 2), (78, 2)])",5
spreading_minbudget,4.613095000036992,200,0.1,"(11, [(138, 1), (25, 1), (140, 1), (55, 1), (73, 1), (11, 1), (115, 1), (104, 1), (172, 1), (36, 1), (191, 1)])",11
heuristic_minbudget,0.5557346999994479,200,0.1,"(8, [(191, 1), (140, 1), (36, 1), (104, 1), (172, 1), (64, 1), (187, 1), (162, 1), (1, 2), (101, 2), (50, 2), (151, 2), (83, 2), (105, 2), (119, 2), (166, 2)])",8
spreading_minbudget,7.242200200038496,200,0.1,"(17, [(11, 1), (97, 1), (175, 1), (161, 1), (163, 1), (120, 1), (122, 1), (35, 1), (9, 1), (30, 1), (157, 1), (36, 1), (19, 1), (162, 1), (185, 1), (191, 1), (125, 1)])",17
heuristic_minbudget,0.6190177999669686,200,0.1,"(11, [(11, 1), (162, 1), (19, 1), (191, 1), (185, 1), (157, 1), (125, 1), (35, 1), (36, 1), (187, 1), (140, 1), (96, 2), (173, 2), (7, 2), (101, 2), (144, 2), (10, 2), (178, 2), (59, 2), (118, 2), (182, 2), (198, 2)])",11
spreading_minbudget,4.726777500007302,200,0.1,"(11, [(175, 1), (170, 1), (28, 1), (157, 1), (158, 1), (38, 1), (84, 1), (5, 1), (125, 1), (196, 1), (191, 1)])",11
heuristic_minbudget,0.5889599999645725,200,0.1,"(9, [(157, 1), (196, 1), (125, 1), (191, 1), (35, 1), (64, 1), (22, 1), (140, 1), (187, 1), (75, 2), (178, 2), (3, 2), (105, 2), (151, 2), (47, 2), (10, 2), (101, 2), (136, 2)])",9
spreading_minbudget,1.2888069999753498,200,0.1,"(4, [(140, 1), (60, 1), (120, 1), (125, 1)])",4
heuristic_minbudget,0.4387322000111453,200,0.1,"(3, [(125, 1), (140, 1), (187, 1), (178, 2), (148, 2), (78, 2)])",3
spreading_minbudget,1.7439048999804072,200,0.25,"(7, [(176, 1), (66, 1), (172, 1), (71, 1), (41, 1), (121, 1), (177, 1)])",7
heuristic_minbudget,1.2115613000351004,200,0.25,"(6, [(177, 1), (172, 1), (71, 1), (121, 1), (176, 1), (41, 1)])",6
spreading_minbudget,7.831169000011869,200,0.25,"(29, [(142, 1), (147, 1), (100, 1), (176, 1), (17, 1), (65, 1), (96, 1), (134, 1), (193, 1), (196, 1), (11, 1), (25, 1), (112, 1), (109, 1), (121, 1), (177, 1), (24, 1), (32, 1), (43, 1), (67, 1), (97, 1), (120, 1), (175, 1), (6, 1), (128, 1), (166, 1), (59, 1), (136, 1), (125, 1)])",29
heuristic_minbudget,1.8681637999834493,200,0.25,"(27, [(175, 1), (128, 1), (100, 1), (134, 1), (120, 1), (67, 1), (6, 1), (43, 1), (59, 1), (97, 1), (177, 1), (24, 1), (17, 1), (109, 1), (136, 1), (96, 1), (112, 1), (25, 1), (176, 1), (65, 1), (166, 1), (193, 1), (125, 1), (196, 1), (32, 1), (121, 1), (11, 1)])",27
spreading_minbudget,7.064361599972472,200,0.25,"(24, [(107, 1), (67, 1), (142, 1), (77, 1), (87, 1), (17, 1), (134, 1), (176, 1), (196, 1), (109, 1), (24, 1), (43, 1), (95, 1), (120, 1), (74, 1), (166, 1), (59, 1), (83, 1), (149, 1), (34, 1), (111, 1), (137, 1), (140, 1), (61, 1)])",24
heuristic_minbudget,1.7242172999540344,200,0.25,"(22, [(74, 1), (67, 1), (83, 1), (149, 1), (34, 1), (59, 1), (120, 1), (17, 1), (24, 1), (111, 1), (43, 1), (109, 1), (140, 1), (87, 1), (134, 1), (77, 1), (95, 1), (61, 1), (166, 1), (176, 1), (196, 1), (137, 1)])",22
spreading_minbudget,5.746890600014012,200,0.25,"(19, [(117, 1), (159, 1), (65, 1), (25, 1), (62, 1), (77, 1), (134, 1), (192, 1), (112, 1), (189, 1), (177, 1), (97, 1), (175, 1), (6, 1), (85, 1), (166, 1), (72, 1), (48, 1), (61, 1)])",19
heuristic_minbudget,1.6397696000058204,200,0.25,"(16, [(97, 1), (175, 1), (65, 1), (61, 1), (189, 1), (192, 1), (166, 1), (77, 1), (134, 1), (6, 1), (177, 1), (25, 1), (85, 1), (112, 1), (72, 1), (48, 1)])",16
spreading_minbudget,2.544081699976232,200,0.25,"(8, [(62, 1), (139, 1), (100, 1), (71, 1), (193, 1), (184, 1), (67, 1), (166, 1)])",8
heuristic_minbudget,1.302068600023631,200,0.25,"(6, [(100, 1), (184, 1), (71, 1), (67, 1), (166, 1), (193, 1), (21, 2), (68, 2), (88, 2), (94, 2), (99, 2), (79, 2)])",6
spreading_minbudget,6.721203599998262,200,0.25,"(24, [(151, 1), (107, 1), (175, 1), (196, 1), (82, 1), (105, 1), (18, 1), (25, 1), (26, 1), (156, 1), (180, 1), (184, 1), (87, 1), (24, 1), (32, 1), (97, 1), (74, 1), (85, 1), (83, 1), (149, 1), (169, 1), (137, 1), (172, 1), (136, 1)])",24
heuristic_minbudget,1.8068187000462783,200,0.25,"(21, [(18, 1), (156, 1), (85, 1), (105, 1), (87, 1), (149, 1), (83, 1), (26, 1), (97, 1), (74, 1), (24, 1), (184, 1), (136, 1), (180, 1), (25, 1), (196, 1), (82, 1), (137, 1), (32, 1), (172, 1), (169, 1)])",21
spreading_minbudget,3.346346700040158,200,0.25,"(13, [(153, 1), (195, 1), (18, 1), (192, 1), (196, 1), (118, 1), (121, 1), (95, 1), (120, 1), (6, 1), (74, 1), (83, 1), (140, 1)])",13
heuristic_minbudget,1.4643892000312917,200,0.25,"(11, [(118, 1), (95, 1), (121, 1), (120, 1), (192, 1), (6, 1), (18, 1), (74, 1), (140, 1), (83, 1), (196, 1), (133, 2), (173, 2), (185, 2), (98, 2), (57, 2), (104, 2)])",11
spreading_minbudget,8.85755740001332,200,0.25,"(33, [(142, 1), (184, 1), (192, 1), (18, 1), (22, 1), (71, 1), (82, 1), (100, 1), (176, 1), (193, 1), (196, 1), (9, 1), (11, 1), (25, 1), (26, 1), (112, 1), (118, 1), (189, 1), (24, 1), (95, 1), (6, 1), (74, 1), (128, 1), (59, 1), (83, 1), (149, 1), (34, 1), (72, 1), (91, 1), (140, 1), (136, 1), (125, 1), (61, 1)])",33
heuristic_minbudget,1.9617945000063628,200,0.25,"(29, [(184, 1), (136, 1), (128, 1), (34, 1), (95, 1), (91, 1), (6, 1), (74, 1), (149, 1), (118, 1), (59, 1), (9, 1), (71, 1), (100, 1), (140, 1), (24, 1), (112, 1), (189, 1), (26, 1), (25, 1), (83, 1), (125, 1), (176, 1), (61, 1), (72, 1), (196, 1), (193, 1), (82, 1), (11, 1)])",29
spreading_minbudget,6.38607680000132,200,0.25,"(23, [(142, 1), (193, 1), (175, 1), (65, 1), (17, 1), (77, 1), (105, 1), (134, 1), (192, 1), (18, 1), (118, 1), (24, 1), (67, 1), (95, 1), (97, 1), (74, 1), (128, 1), (149, 1), (111, 1), (137, 1), (140, 1), (136, 1), (48, 1)])",23
heuristic_minbudget,1.7694432000280358,200,0.25,"(22, [(128, 1), (74, 1), (175, 1), (136, 1), (193, 1), (67, 1), (24, 1), (97, 1), (118, 1), (18, 1), (149, 1), (140, 1), (17, 1), (65, 1), (105, 1), (95, 1), (77, 1), (192, 1), (134, 1), (137, 1), (48, 1), (111, 1)])",22
spreading_minbudget,0.9410167000023648,200,0.25,"(5, [(26, 1), (196, 1), (24, 1), (59, 1), (111, 1)])",5
heuristic_minbudget,1.0578888000454754,200,0.25,"(4, [(24, 1), (59, 1), (26, 1), (111, 1)])",4
spreading_minbudget,8.552058499946725,200,0.5,"(37, [(128, 1), (22, 1), (197, 1), (11, 1), (64, 1), (66, 1), (73, 1), (83, 1), (95, 1), (118, 1), (148, 1), (150, 1), (153, 1), (154, 1), (172, 1), (181, 1), (185, 1), (5, 1), (16, 1), (18, 1), (23, 1), (34, 1), (62, 1), (75, 1), (94, 1), (136, 1), (151, 1), (173, 1), (179, 1), (14, 1), (19, 1), (55, 1), (177, 1), (182, 1), (184, 1), (191, 1), (71, 1)])",37
heuristic_minbudget,6.069456299999729,200,0.5,"(37, [(128, 1), (95, 1), (154, 1), (181, 1), (173, 1), (18, 1), (197, 1), (62, 1), (179, 1), (185, 1), (11, 1), (55, 1), (184, 1), (148, 1), (182, 1), (14, 1), (66, 1), (19, 1), (153, 1), (5, 1), (22, 1), (34, 1), (118, 1), (75, 1), (150, 1), (172, 1), (64, 1), (94, 1), (177, 1), (71, 1), (16, 1), (73, 1), (136, 1), (191, 1), (151, 1), (23, 1), (83, 1)])",37
spreading_minbudget,5.426760700007435,200,0.5,"(27, [(97, 1), (96, 1), (115, 1), (3, 1), (22, 1), (42, 1), (66, 1), (67, 1), (73, 1), (118, 1), (134, 1), (145, 1), (169, 1), (175, 1), (185, 1), (2, 1), (5, 1), (34, 1), (69, 1), (196, 1), (19, 1), (20, 1), (28, 1), (40, 1), (44, 1), (184, 1), (186, 1)])",27
heuristic_minbudget,5.539592099958099,200,0.5,"(27, [(115, 1), (3, 1), (96, 1), (185, 1), (22, 1), (67, 1), (44, 1), (42, 1), (28, 1), (118, 1), (134, 1), (19, 1), (97, 1), (184, 1), (186, 1), (40, 1), (66, 1), (34, 1), (5, 1), (196, 1), (73, 1), (145, 1), (69, 1), (20, 1), (169, 1), (175, 1), (2, 1)])",27
spreading_minbudget,13.67570959997829,200,0.5,"(51, [(128, 1), (97, 1), (17, 1), (27, 1), (30, 1), (39, 1), (66, 1), (67, 1), (73, 1), (95, 1), (96, 1), (105, 1), (115, 1), (137, 1), (138, 1), (145, 1), (154, 1), (159, 1), (169, 1), (185, 1), (194, 1), (197, 1), (5, 1), (16, 1), (23, 1), (33, 1), (60, 1), (62, 1), (69, 1), (75, 1), (82, 1), (94, 1), (151, 1), (173, 1), (179, 1), (13, 1), (14, 1), (19, 1), (40, 1), (68, 1), (81, 1), (139, 1), (146, 1), (166, 1), (177, 1), (182, 1), (184, 1), (191, 1), (124, 1), (71, 1), (56, 1)])",51
