algorithm,runtime,graph_nodes,edge_probability,Budget,Budget_numeric
heuristic_minbudget,0.0201335999881848,10,0.8,"(3, [(6, 1), (7, 1), (9, 1)])",3
spreading_minbudget,0.0122806000290438,10,0.8,"(2, [(1, 1), (7, 1)])",2
heuristic_minbudget,0.0235645999782718,10,0.8,"(2, [(7, 1), (1, 1)])",2
spreading_minbudget,0.0213371000136248,10,0.8,"(2, [(4, 1), (7, 1)])",2
heuristic_minbudget,0.0479460000060498,10,0.8,"(2, [(4, 1), (7, 1)])",2
spreading_minbudget,0.0230638000066392,10,0.8,"(2, [(4, 1), (7, 1)])",2
heuristic_minbudget,0.0219411000143736,10,0.8,"(2, [(4, 1), (7, 1)])",2
spreading_minbudget,0.0485768999787978,20,0.1,"(2, [(2, 1), (15, 1)])",2
heuristic_minbudget,0.0126849999651312,20,0.1,"(1, [(15, 1), (18, 2)])",1
spreading_minbudget,0.0154566999990493,20,0.1,"(1, [(15, 1)])",1
heuristic_minbudget,0.0121565000154078,20,0.1,"(1, [(15, 1), (18, 2)])",1
spreading_minbudget,0.0522688999772071,20,0.1,"(2, [(2, 1), (5, 1)])",2
heuristic_minbudget,0.0134749999851919,20,0.1,"(1, [(5, 1), (18, 2)])",1
spreading_minbudget,0.0279908999800682,20,0.1,"(1, [(2, 1)])",1
heuristic_minbudget,0.0125780999660491,20,0.1,"(1, [(2, 1), (19, 2)])",1
spreading_minbudget,0.0463769999914802,20,0.1,"(1, [(2, 1)])",1
heuristic_minbudget,0.0121720000170171,20,0.1,"(1, [(2, 1), (19, 2)])",1
spreading_minbudget,0.0148494999739341,20,0.1,"(2, [(2, 1), (15, 1)])",2
heuristic_minbudget,0.0121026000124402,20,0.1,"(1, [(15, 1), (18, 2)])",1
spreading_minbudget,0.0751164000248536,20,0.1,"(2, [(2, 1), (5, 1)])",2
heuristic_minbudget,0.0112637000274844,20,0.1,"(2, [(2, 1), (5, 1), (19, 2)])",2
spreading_minbudget,0.0291082999901846,20,0.1,"(1, [(15, 1)])",1
heuristic_minbudget,0.0131579999579116,20,0.1,"(1, [(15, 1), (18, 2)])",1
spreading_minbudget,0.0057413000031374,20,0.1,"(1, [(2, 1)])",1
heuristic_minbudget,0.0093061000225134,20,0.1,"(1, [(2, 1)])",1
spreading_minbudget,0.015626800013706,20,0.1,"(1, [(2, 1)])",1
heuristic_minbudget,0.0124430999858304,20,0.1,"(1, [(2, 1), (19, 2)])",1
spreading_minbudget,0.0891375999781303,20,0.25,"(5, [(7, 1), (4, 1), (17, 1), (18, 1), (5, 1)])",5
heuristic_minbudget,0.0430718000279739,20,0.25,"(5, [(4, 1), (7, 1), (18, 1), (17, 1), (5, 1)])",5
spreading_minbudget,0.0391368000418879,20,0.25,"(1, [(17, 1), (19, 2)])",1
heuristic_minbudget,0.0695563000044785,20,0.25,"(1, [(17, 1), (19, 2)])",1
spreading_minbudget,0.0199773000204004,20,0.25,"(2, [(17, 1), (5, 1)])",2
heuristic_minbudget,0.0326781999901868,20,0.25,"(1, [(5, 1), (9, 2)])",1
spreading_minbudget,0.0173451000009663,20,0.25,"(2, [(5, 1), (8, 1)])",2
heuristic_minbudget,0.0346652999869547,20,0.25,"(1, [(8, 1), (12, 2)])",1
spreading_minbudget,0.0813792999833822,20,0.25,"(5, [(18, 1), (5, 1), (7, 1), (8, 1), (13, 1)])",5
heuristic_minbudget,0.0396280999993905,20,0.25,"(4, [(5, 1), (13, 1), (7, 1), (8, 1), (1, 2), (3, 2), (16, 2), (11, 2)])",4
spreading_minbudget,0.0842310999869369,20,0.25,"(5, [(17, 1), (13, 1), (4, 1), (14, 1), (7, 1)])",5
heuristic_minbudget,0.0457709999755024,20,0.25,"(4, [(4, 1), (7, 1), (13, 1), (14, 1), (16, 2), (3, 2)])",4
spreading_minbudget,0.0334027999779209,20,0.25,"(1, [(4, 1), (6, 2)])",1
heuristic_minbudget,0.0343526999931782,20,0.25,"(1, [(4, 1), (6, 2)])",1
spreading_minbudget,0.0070940000005066,20,0.25,"(1, [(4, 1)])",1
heuristic_minbudget,0.0313133999588899,20,0.25,"(1, [(4, 1)])",1
spreading_minbudget,0.0815002999734133,20,0.25,"(5, [(15, 1), (17, 1), (5, 1), (14, 1), (7, 1)])",5
heuristic_minbudget,0.0485869999974966,20,0.25,"(3, [(5, 1), (7, 1), (14, 1), (19, 2), (1, 2), (3, 2)])",3
spreading_minbudget,0.0389616999891586,20,0.25,"(1, [(17, 1), (10, 2)])",1
heuristic_minbudget,0.0362543000373989,20,0.25,"(1, [(17, 1), (10, 2)])",1
spreading_minbudget,0.0066965000005438,20,0.5,"(1, [(2, 1)])",1
heuristic_minbudget,0.0478928000084124,20,0.5,"(1, [(11, 1)])",1
spreading_minbudget,0.0857626000070013,20,0.5,"(5, [(2, 1), (10, 1), (11, 1), (5, 1), (12, 1)])",5
heuristic_minbudget,0.0376622999901883,20,0.5,"(5, [(2, 1), (10, 1), (5, 1), (11, 1), (12, 1)])",5
spreading_minbudget,0.068488199962303,20,0.5,"(4, [(2, 1), (10, 1), (14, 1), (12, 1)])",4
heuristic_minbudget,0.0413265999522991,20,0.5,"(3, [(10, 1), (12, 1), (14, 1), (9, 2), (19, 2)])",3
spreading_minbudget,0.0340900000301189,20,0.5,"(2, [(11, 1), (10, 1)])",2
heuristic_minbudget,0.0269111000234261,20,0.5,"(2, [(11, 1), (10, 1)])",2
spreading_minbudget,0.0174976999987848,20,0.5,"(1, [(2, 1)])",1
heuristic_minbudget,0.0280161999980919,20,0.5,"(1, [(11, 1)])",1
spreading_minbudget,0.0074173999601043,20,0.5,"(1, [(1, 1)])",1
heuristic_minbudget,0.0265510000172071,20,0.5,"(1, [(5, 1)])",1
spreading_minbudget,0.079995600041002,20,0.5,"(5, [(4, 1), (10, 1), (5, 1), (14, 1), (12, 1)])",5
heuristic_minbudget,0.0330155999981798,20,0.5,"(4, [(5, 1), (10, 1), (12, 1), (14, 1)])",4
spreading_minbudget,0.0181225999840535,20,0.5,"(1, [(2, 1)])",1
heuristic_minbudget,0.0276943999924696,20,0.5,"(1, [(11, 1)])",1
spreading_minbudget,0.0351510000182315,20,0.5,"(2, [(3, 1), (8, 1)])",2
heuristic_minbudget,0.0316021000035107,20,0.5,"(1, [(8, 1), (19, 2)])",1
spreading_minbudget,0.0068841000320389,20,0.5,"(1, [(8, 1)])",1
heuristic_minbudget,0.0278723000083118,20,0.5,"(1, [(8, 1)])",1
spreading_minbudget,0.0859881000360474,20,0.8,"(5, [(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)])",5
heuristic_minbudget,0.0967110999627038,20,0.8,"(5, [(9, 1), (10, 1), (12, 1), (8, 1), (11, 1)])",5
spreading_minbudget,0.0865124999545514,20,0.8,"(5, [(9, 1), (10, 1), (12, 1), (14, 1), (16, 1)])",5
heuristic_minbudget,0.0735420999699272,20,0.8,"(5, [(9, 1), (10, 1), (12, 1), (16, 1), (14, 1)])",5
spreading_minbudget,0.0183707999531179,20,0.8,"(1, [(1, 1)])",1
heuristic_minbudget,0.0621233999845571,20,0.8,"(1, [(15, 1)])",1
